Student_ID,10th_Percentage,12th_Percentage,Undergraduate_GPA,Number_of_Backlogs,Certifications_Completed,Internship_Experience_Months,Technical_Skills_Count,Projects_Completed,Soft_Skills_Rating,Aptitude_Test_Score,Mock_Interview_Score,Hackathon_Participation,Volunteering_Experience,Extracurricular_Rating,Age,Gender,Location,Placement_Training_Participation,Interview_Call_Rates,Preferred_Role,Previous_Internship_Offers,Desired_Salary_Range,Placement_Offer,Postgraduate_Studies,Specialization_Field,Semester_Trend,Coding_Competitions_Participation,Tech_Stack_Expertise,GitHub_Activity,Leadership_Skills_Rating,Emotional_Intelligence_Score,Time_Management_Skills,Resume_Quality_Score,Alumni_Network_Engagement,Languages_Known,Disability_Status,Fathers_Occupation
STU00001,80.52,51.17,6.14,0,9,11,5,12,3.75,59.52,58.79,1,3,2.76,18,Male,Urban,1,0,Data Scientist,2,5.21,0,No,EEE,Declining,2,5,45.22,1.4,4.58,1.89,1.26,32,5,Hearing,Driver
STU00002,68.29,64.87,9.46,0,4,2,6,8,2.14,56.2,75.97,0,4,4.1,20,Female,Rural,0,9,Analyst,0,13.89,0,No,ECE,Declining,0,1,35.96,2.76,2.24,3.99,4.5,15,5,None,Businessman
STU00003,79.31,62.66,8.85,0,4,9,9,8,3.85,38.83,73.98,3,4,2.4,23,Other,Urban,0,5,Developer,0,7.8,1,No,MECH,Improving,2,9,49.33,3.84,3.41,4.86,1.47,80.23,4,Visual,Government Employee
STU00004,82.82,70.49,9.4,5,7,12,10,18,4.12,41,38.63,0,4,4.61,18,Male,Rural,1,3,Data Scientist,3,4.01,0,Yes,IT,Declining,0,4,60.05,2.3,4,1.73,2.73,55.66,4,None,Army Personnel
STU00005,52,71.22,6.9,5,4,20,7,4,1.11,8.54,98.38,4,0,4.75,19,Other,Rural,0,8,Analyst,5,10.19,1,Yes,EEE,Improving,5,4,12.36,4.75,4.36,1.71,4.01,96.91,2,Visual,Mechanic
STU00006,55.1,78.24,6.17,1,1,12,5,19,4.71,70.54,20.4,0,0,1.69,21,Male,Urban,1,6,Tester,2,4.44,0,No,EEE,Declining,0,1,27.45,2.03,4.42,2.62,2.19,25.31,1,Hearing,Shopkeeper
STU00007,74.95,99.61,9.22,4,3,5,3,5,3.44,2.92,37.73,0,1,3.94,23,Other,Urban,0,3,Tester,5,5.25,1,Yes,EEE,Improving,3,10,91.66,3.29,1.67,2.14,4.39,52.17,5,Mobility,Businessman
STU00008,81.17,78.23,9.34,7,4,17,5,6,1.23,65.16,78.83,3,5,1.2,25,Female,Urban,0,4,Tester,3,3.74,1,No,EEE,Improving,2,7,70.22,3.08,1.74,1.31,4.77,27.5,5,Visual,Farmer
STU00009,82.59,72.52,9.02,5,5,6,2,1,2.73,39.44,70.73,1,5,4.78,21,Male,Rural,1,7,Developer,0,7.86,1,No,ECE,Improving,5,6,21.5,3.65,3.09,1.73,4.34,32.18,5,Visual,Lawyer
STU00010,67.33,53.01,5.71,0,9,21,10,11,1.7,37.73,73.27,5,0,1.18,18,Male,Rural,1,8,Analyst,5,6.13,1,No,MECH,Declining,3,6,32.92,2.6,4.36,4.45,3.03,65.43,4,Hearing,Engineer
STU00011,78.7,90.92,5.41,9,0,7,2,3,3.46,9.94,91.49,4,2,2.85,18,Female,Urban,1,9,Data Scientist,4,5.22,0,Yes,MECH,Consistent,1,8,98.61,1.57,4.34,2.25,1.29,97.6,1,Visual,Technician
STU00012,68.42,50.74,6.53,4,10,24,5,9,1,22.29,99.2,4,0,3.72,18,Other,Urban,1,9,Developer,4,11.16,1,Yes,EEE,Improving,2,6,0.94,3.15,2.24,1.25,3.43,69.37,1,None,Lawyer
STU00013,77.85,96.55,8.71,0,4,0,7,5,3.82,47.53,8.05,1,5,2.3,25,Male,Urban,0,8,Developer,4,13.42,1,No,EEE,Consistent,1,4,82.4,3.6,1.99,3.32,1.93,84.87,5,Visual,Clerk
STU00014,84.91,62.24,6.11,2,2,21,1,2,2.4,51.56,58.21,0,4,1.06,21,Other,Urban,1,9,Data Scientist,4,4.35,0,Yes,ECE,Consistent,3,1,79.94,3.29,4.47,3.68,2.8,60.72,5,Mobility,Mechanic
STU00015,54.4,93.5,6.62,9,1,2,8,8,2.69,9.07,69.68,3,3,1.41,18,Other,Urban,0,7,Analyst,5,10.11,0,Yes,EEE,Consistent,5,2,13.88,4.38,4.96,3.51,2.46,14.76,1,None,Government Employee
STU00016,88.53,94.93,5.4,5,5,12,5,3,1.41,87.58,7.32,4,2,1.97,22,Female,Rural,1,6,Data Scientist,1,4.86,0,No,CSE,Improving,3,9,46.74,3.74,2.97,2.22,1.39,69.57,1,Hearing,Doctor
STU00017,58.79,68.03,7.23,7,6,15,5,15,1.65,95.76,9.16,0,5,3.25,22,Female,Rural,0,5,Data Scientist,1,7.82,1,Yes,CSE,Consistent,4,1,63.74,1.07,1.33,2.39,2.03,26.77,5,Mobility,Farmer
